title	kana	authors	vols	lacking
AKUTAGAWA'S RASHÔMON and OTHER STORIES : THE MANGA EDITION	アクタガワズラショウモンアンドアザーストーリーズ:ザマンガエディション	Ryunosuke Akutagawa [原作]/mkdeville [翻案]	[1]	題不一致(NDL/楽天):Akutagawa's Ra
アテナの卒業式 : 中学校教師菜花さきの戦い.	アテナノソツギョウシキ:チュウガッコウキョウシナバナサキノタタカイ	戸井理恵/のぶ	[1]	題不一致(NDL/楽天):アテナの卒業式 中学校教師 
あなたが体験した怖い話 : 怖い部屋	アナタガタイケンシタコワイハナシ:コワイヘヤ		[1]	著者無;v1書影無(楽天)
大人も読みたい藤子・F・不二雄100 : THE BEST OF FUJIKO・F・FUJIO	オトナモヨミタイフジコエフフジオヒャク:ザベストオブフジコエフフジオ		[1]	著者無;題不一致(NDL/楽天):Casa BRUTUS特別編
俺流!絶品めし.	オレリュウ!ゼッピンメシ		[40, 41, 42, 43, 44, 45]	巻不連続[40, 41, 42, 43, 44, 45];著者無;v1書影無(楽天)
機動戦士ZガンダムDefine	キドウセンシゼータガンダムディファイン	北爪宏幸/矢立肇	[20]	巻不連続[20];v1書影無(楽天)
キン肉マン技	キンニクマンワザ	ゆでたまご/学研図鑑編集室 編集・制作	[1]	題不一致(NDL/楽天):キン肉マン「技」完璧超人始祖
薬屋のひとりごと : 猫猫の後宮謎解き手帳	クスリヤノヒトリゴト:マオマオノコウキュウナゾトキテチョウ	日向夏原作 ; 倉田三ノ路作画 ; しのとうこキャラクター原案	[18, 19, 20, 21]	巻不連続[18, 19, 20, 21];v1書影無(楽天)
Kenji Miyazawa's THE RESTAURANT OF MANY ORDERS And Other Stories : THE MANGA EDITION	ケンジミヤザワズザレストランオブメニーオーダーズアンドアザーストーリーズ:ザマン	Yasuko Sakuno [翻案]/Moss Quanci [訳]	[1]	題不一致(NDL/楽天):Kenji Miyazawa
思い出食堂 : 新作漫画よみきり. No. 74 (お茶漬け編)	オモイデショクドウ:シンサクマンガヨミキリ		[74]	巻不連続[74];著者無;v1書影無(楽天)
くっ殺ヒロインズ. SP17	クッコロヒロインズ		[17]	巻不連続[17];著者無;v1書影無(楽天)
コミック艶.	コミックエン		[31, 32, 33, 34, 35, 36]	巻不連続[31, 32, 33, 34, 35, 36];著者無;v1書影無(楽天)
コミックパチンコ必勝ガイド	コミックパチンコヒッショウガイド		[1]	著者無
ごはん日和.	ゴハンビヨリ		[45, 46, 47, 48]	巻不連続[45, 46, 47, 48];著者無;v1書影無(楽天)
アウトドアごはん. No.	アウトドアゴハン		[15]	巻不連続[15];著者無;v1書影無(楽天)
カードキャプターさくらメモリアルブック = CARDCAPTOR SAKURA MEMORIAL BOOK	カードキャプターサクラメモリアルブック	CLAMP	[1]	題不一致(NDL/楽天):復刻版 カードキャプターさく
生贄の放課後 : 気の強い転校生を責め堕とす	イケニエノホウカゴ:キノツヨイテンコウセイオセメオトス	鬼窪浩久	[1]	v1書影無(楽天)
おひさま : 矢部太郎の漫画	オヒサマ:ヤベタロウノマンガ	永岡綾 編集	[1]	題不一致(NDL/楽天):おひさま 矢部太郎の漫画
思い出食堂 : 新作漫画よみきり. No. 75 (卵かけご飯編)	オモイデショクドウ:シンサクマンガヨミキリ		[75]	巻不連続[75];著者無;v1書影無(楽天)
からかい上手の高木さん卒業アルバム : 山本崇一朗カラーワークス	カラカイジョウズノタカギサンソツギョウアルバム:ヤマモトソウイチロウカラーワーク	山本崇一朗	[1]	題不一致(NDL/楽天):からかい上手の高木さん 画集
愛を伝える方法論	アイオツタエルホウホウロン	大波耀子	[1]	v1書影無(楽天)
あなたが体験した怖い話 : よくない家	アナタガタイケンシタコワイハナシ:ヨクナイイエ		[1]	著者無;v1書影無(楽天)
淡島百景 = A Hundred Scenes of AWAJIMA.	アワジマヒャッケイ	志村貴子	[5]	巻不連続[5];v1書影無(楽天)
SM的純愛 : 解きたい男×縛られたい女	エスエムテキジュンアイ:トキタイオトコシバラレタイオンナ	粕谷まこ	[1]	題不一致(NDL/楽天):SM的純愛〜解きたい男×縛ら
怪獣8号終焉のフォルティチュード	カイジュウハチゴウシュウエンノフォルティチュード		[1]	著者無
感覚遮断~身体の感覚を遮断されて気づかぬ間に強制絶頂~ : 別冊コミックアンリアル	カンカクシャダンシンタイノカンカクオシャダンサレテキズカヌアイダニキョウセイゼッ		[1]	著者無;v1書影無(楽天)
くっ殺ヒロインズ. SP18	クッコロヒロインズ		[18]	巻不連続[18];著者無;v1書影無(楽天)
50婚 = Married at 50 : 影木、おひとり様やめるってよ	ゴジュウコン	影木栄貴	[1]	題不一致(NDL/楽天):50婚 影木、おひとり様やめ
OUT.	アウト	井口達也/みずたまこと	[26]	巻不連続[26];v1書影無(楽天)
思い出食堂. No. 76 (喫茶店のドライカレー編)	オモイデショクドウ		[76]	巻不連続[76];著者無;v1書影無(楽天)
怪獣8号日本防衛隊討伐報告書	カイジュウハチゴウニホンボウエイタイトウバツホウコクショ		[1]	著者無
キマってとろける百合エッチ	キマッテトロケルユリエッチ		[1]	著者無;v1書影無(楽天)
クローズ外伝鳳仙花 : the beginning of HOUSEN.	クローズガイデンホウセンカ:ザビギニングオブホウセン	髙橋ヒロシ/齋藤周平	[19]	巻不連続[19];v1書影無(楽天)
クロスオーバーレブ! = Cross Over Rev.	クロスオーバーレブ	山口かつみ	[12]	巻不連続[12];v1書影無(楽天)
公道ウルフ = The Wolf of Road Race.	コウドウウルフ	野口賢	[13]	巻不連続[13];v1書影無(楽天)
こじらせ転生魔王と7人のおしかけ乙女のラグナロク・システム.	コジラセテンセイマオウトシチニンノオシカケオトメノラグナロクシステム	サイトウケンジ/GUNP	[3]	巻不連続[3];v1書影無(楽天)
この冒険者、人類史最強です : 外れスキル『鑑定』が『継承』に覚醒したので、数多の英雄たちの力を受け継ぎ無双する.	コノボウケンシャジンルイシサイキョウデス:ハズレスキルカンテイガケイショウニカク	日之影ソラ/みやけりく	[3]	巻不連続[3];v1書影無(楽天)
私刑執行人 = The Private Executioner : 殺人弁護士とテミスの天秤.	シケイシッコウニン	草下シンヤ/内田康平	[3]	巻不連続[3];v1書影無(楽天)
アイシールド21 BRAIN×BRAVE : 21st Anniversary down	アイシールドニジュウイチブレインブレイブ:トゥエンティファーストアニバーサリーダ	稲垣理一郎/村田雄介	[1]	題不一致(NDL/楽天):21st Anniversa
アウターQ = Outer Q : 弱小Webマガジンの事件簿.	アウターキュー	澤村伊智/宵町めめ	[1]	題不一致(NDL/楽天):アウターQ 弱小Webマガジ
悪堕ち孕ませ : 正義の美少女悪転受胎	アクオチハラマセ:セイギノビショウジョアクテンジュタイ		[1]	著者無;v1書影無(楽天)
異種交流会 = EXCHANGE PARTIES WITH ANTHROPOMORPHIC FIGURES	イシュコウリュウカイ		[1]	著者無
異世界のすみっこで快適ものづくり生活 : 女神さまのくれた工房はちょっとやりすぎ性能だった.	イセカイノスミッコデカイテキモノズクリセイカツ:メガミサマノクレタコウボウワチョ	西山アラタ/長田信織	[1]	題不一致(NDL/楽天):異世界のすみっこで快適ものづ
命の水 = L'eau de vie : モンマルトル-ラパン・アジルへの道	イノチノミズ	さかもと未明	[1]	題不一致(NDL/楽天):命の水 - モンマルトルーー
怪物たちを統べるモノ = THE BOY WHO RULES THE MONSTERS : 最強の支援特化能力で、気付けば世界最強パーティーに!	カイブツタチオスベルモノ	多門結之/Sin Guilty	[2]	巻不連続[2];v1書影無(楽天)
この世はガマンが多すぎる!	コノヨワガマンガオオスギル	御眼鏡	[2]	巻不連続[2];v1書影無(楽天)
コミケPlus.	コミケプラス		[21, 22]	巻不連続[21, 22];著者無;v1書影無(楽天)
秋本治のナイス!なチョイスこち亀live!! : こちら葛飾区亀有公園前派出所.	アキモトオサムノナイス!ナチョイスコチカメlive!!:コチラカツシカクカメアリ	秋本治	[3, 4, 5, 6]	巻不連続[3, 4, 5, 6];v1書影無(楽天)
悪夢令嬢は一家滅亡の夢を見た : 私の目的は生き延びることです.	アクユメレイジョウワイッカメツボウノユメオミタ:ワタシノモクテキワイキノビルコト	大菊小菊/近衛悠	[2]	巻不連続[2];v1書影無(楽天)
あなたが体験した怖い話 : 霊能者も震えた!凶悪霊の呪い	アナタガタイケンシタコワイハナシ:レイノウシャモフルエタ!キョウアクレイノノロイ		[1]	著者無;v1書影無(楽天)
妖精国の騎士Ballad~継ぐ視の守護者~.	アルフヘイムノキシバラッドツグミノモリ	中山星香	[8]	巻不連続[8];v1書影無(楽天)
アンメット = unmet : ある脳外科医の日記.	アンメット	子鹿ゆずる/大槻閑人	[16, 17]	巻不連続[16, 17];v1書影無(楽天)
生きとし生ける = All living things.	イキトシイケル	長谷川未来	[2]	巻不連続[2];v1書影無(楽天)
因習村でイキ狂う雌達 : 別冊コミックアンリアル	インシュウムラデイキクルウメスタチ:ベッサツコミックアンリアル		[1]	著者無;v1書影無(楽天)
王子、婚約破棄したのはそちらなので、恐い顔でこっちにらまないでください。.	オウジコンヤクハキシタノワソチラナノデコワイカオデコッチニラマナイデクダサイ	真曽木トウル/三枝えま	[2]	巻不連続[2];v1書影無(楽天)
OTOMO THE COMPLETE WORKS.	オオトモザコンプリートワークス	大友克洋	[6, 12, 25]	巻不連続[6, 12, 25];v1書影無(楽天)
思い出食堂. No. 77 (勝負のカツ丼!編)	オモイデショクドウ		[77]	巻不連続[77];著者無;v1書影無(楽天)
街道あるくんです = Let's Walk The TOKAIDO.	カイドウアルクンデス	竹本真/猪乙くろ	[3]	巻不連続[3];v1書影無(楽天)
カチコチ男の娘 : 女子寮に女装少年ひとり	カチコチオトコノムスメ:ジョシリョウニジョソウショウネンヒトリ	夏川冬	[1]	v1書影無(楽天)
歌舞伎町のカリスマ無双キャバ嬢が史上最強の悪役令嬢マリー・アントワネットに生まれ変わったら.	カブキチョウノカリスマムソウキャバジョウガシジョウサイキョウノアクヤクレイジョウ	ひかり旭/新堂冬樹	[2]	巻不連続[2];v1書影無(楽天)
仮面ライダークウガ = Masked Rider KUUGA.	カメンライダークウガ	石ノ森章太郎/井上敏樹	[25]	巻不連続[25];v1書影無(楽天)
ガールズ&パンツァーもっとらぶらぶ作戦です!	ガールズアンドパンツァーモットラブラブサクセンデス	弐尉マルコ/ガールズ&amp;パンツァー製作委員会	[22]	巻不連続[22];v1書影無(楽天)
がごはん : 天津水市「がご」撲滅だより.	ガゴハン:アマツミズシガゴボクメツダヨリ	ゆのこショウ	[2]	巻不連続[2];v1書影無(楽天)
キングダム英雄風雲録	キングダムエイユウフウウンロク		[1]	著者無
くっ殺ヒロインズ. SP19	クッコロヒロインズ		[19]	巻不連続[19];著者無;v1書影無(楽天)
金色のガッシュ!!2 = Konjiki no GASH!!2.	コンジキノガッシュニ	雷句誠	[4]	巻不連続[4];v1書影無(楽天)
ごはんのおトモに、死神と!	ゴハンノオトモニ、シニガミト!	寝路	[2]	巻不連続[2];v1書影無(楽天)
青に落雷 = You are the blue lightning in me.	アオニラクライ	虹沢羽見	[6]	巻不連続[6];v1書影無(楽天)
悪虐聖女ですが、愛する旦那さまのお役に立ちたいです。 : とはいえ、嫌われているのですが.	アクギャクセイジョデスガ、アイスルダンナサマノオヤクニタチタイデス。:トワイエ、	提灯あんこ コミック/雨川透子	[3]	巻不連続[3];v1書影無(楽天)
悪役令嬢に転生失敗して勝ちヒロインになってしまいました : 悪役令嬢の兄との家族エンドを諦めて恋人エンドを目指します.	アクヤクレイジョウニテンセイシッパイシテカチヒロインニナッテシマイマシタ:アクヤ	御守リツヒロ/柚原テイル	[5]	巻不連続[5];v1書影無(楽天)
悪役令嬢ルートから解放されました! = FREED FROM THE VILLAINOUS LADY'S ROUTE! : ゲームは終わったので、ヒロインには退場してもらいましょうか.	アクヤクレイジョウルートカラカイホウサレマシタ	みなと/吉たか結衣	[1]	題不一致(NDL/楽天):悪役令嬢ルートから解放されま
アトムザ・ビギニング = ATOM THE BEGINNING.	アトムザビギニング	手塚治虫/ゆうきまさみ コンセプトワークス	[21]	巻不連続[21];v1書影無(楽天)
アラフォーになった最強の英雄たち、再び戦場で無双する!!	アラフォーニナッタサイキョウノエイユウタチ、フタタビセンジョウデムソウスル!!	岸馬きらく/戸田泰成	[3]	巻不連続[3];v1書影無(楽天)
アルマーク.	アルマーク	柚ノ木ヒヨト/やまだのぼる	[4]	巻不連続[4];v1書影無(楽天)
ある魔女が死ぬまで : 終わりの言葉と始まりの涙.	アルマジョガシヌマデ:オワリノコトバトハジマリノナミダ	雨霰けぬ/坂	[3]	巻不連続[3];v1書影無(楽天)
ある継母のメルヘン = The Fantasie of a Stepmother.	アルママハハノメルヘン	ORKA/Spice &amp; Kitty	[7]	巻不連続[7];v1書影無(楽天)
アンゴルモア = Angolmois : 元寇合戦記. 博多編10	アンゴルモア	たかぎ七彦	[10]	巻不連続[10];v1書影無(楽天)
Unnamed Memory = アンネームドメモリー.	アンネームドメモリー	古宮九時/越水ナオキ	[7]	巻不連続[7];v1書影無(楽天)
イイ声で啼けよ、おまわりさん : 警官Ωはヤクザ様の運命	イイコエデナケヨオマワリサン:ケイカンオメガワヤクザサマノウンメイ	安滋かづ	[1]	題不一致(NDL/楽天):イイ声で啼けよ、おまわりさん
いいなりマゾメストリップ	イイナリマゾメストリップ	みつあし	[1]	v1書影無(楽天)
EVOL.	イーヴォー	カネコアツシ	[8]	巻不連続[8];v1書影無(楽天)
家を追い出されましたが、元気に暮らしています : チートな魔法と前世知識で快適便利なセカンドライフ!	イエオオイダサレマシタガゲンキニクラシテイマス:チートナマホウトゼンセチシキデカ	つむぎはる/斎木リコ	[1]	題不一致(NDL/楽天):家を追い出されましたが、元気
異世界おじさん = Ojisan In Another World.	イセカイオジサン	殆ど死んでいる	[12]	巻不連続[12];v1書影無(楽天)
異世界陰陽師と十二天将の式神 = The Other World Yin-Yang Master and the Twelve Heavenly Generals' Shikigami.	イセカイオンヨウジトジュウニテンショウノシキガミ	ココノツけい/蒼乃白兎	[2]	巻不連続[2];v1書影無(楽天)
異世界クラス召喚されたらR1〇のスキルを獲得したので、〇りたい放題させてもらいます!	イセカイクラスショウカンサレタラR1〇ノスキルオカクトクシタノデ、〇リタイホウダ	仁堂ジョー/ひろのあきとみ	[1]	題不一致(NDL/楽天):異世界クラス召喚されたらR1
異世界最高峰のギルドリーダー : ギルド最弱の僕だけど、ギルメン全員の愛が重くてギルドをやめられません.	イセカイサイコウホウノギルドリーダー:ギルドサイジャクノボクダケドギルメンゼンイ	くじらじーお/陽波ゆうい	[3]	巻不連続[3];v1書影無(楽天)
異世界ジビエ飯 : 食わず嫌いエルフをおもてなす.	イセカイジビエメシ:クワズギライエルフオオモテナス	田辺崇	[4]	巻不連続[4];v1書影無(楽天)
異世界じゃスローライフはままならない : 聖獣の主人は島育ち.	イセカイジャスローライフワママナラナイ:セイジュウノシュジンワシマソダチ	夏柿シン/ひなた丸だいや	[4]	巻不連続[4];v1書影無(楽天)
異世界ちゃんこ : 横綱目前に召喚されたんだが. Volume	イセカイチャンコ:ヨコズナモクゼンニショウカンサレタンダガ	林ふみの	[14]	巻不連続[14];v1書影無(楽天)
異世界転生で賢者になって冒険者生活 : 【魔法改良】で異世界最強.	イセカイテンセイデケンジャニナッテボウケンシャセイカツ:【マホウカイリョウ】デイ	進行諸島/神名ゆゆ	[8]	巻不連続[8];v1書影無(楽天)
異世界でスキルを解体したらチートな嫁が増殖しました : 概念交差のストラクチャー.	イセカイデスキルオカイタイシタラチートナヨメガゾウショクシマシタ:ガイネンコウサ	千月さかき/カタセミナミ	[13]	巻不連続[13];v1書影無(楽天)
異世界に飛ばされたおっさんは何処へ行く? = An Ossan in counterworld!	イセカイニトバサレタオッサンワドコエイク	シ・ガレット/ひらぶき雅浩	[13]	巻不連続[13];v1書影無(楽天)
異世界のんびり農家の日常.	イセカイノンビリノウカノニチジョウ	内藤騎之介/ユウズィ	[4]	巻不連続[4];v1書影無(楽天)
異世界のんびり農家 = Farming life in another world.	イセカイノンビリノウカ	内藤騎之介/剣康之	[13]	巻不連続[13];v1書影無(楽天)
異世界ゆるっとサバイバル生活 : 学校の皆と異世界の無人島に転移したけど俺だけ楽勝です.	イセカイユルットサバイバルセイカツ:ガッコウノミナトイセカイノムジントウニテンイ	絢乃/西尾洋一	[7]	巻不連続[7];v1書影無(楽天)
異世界料理で子育てしながらレベルアップ! : ケモミミ幼児とのんびり冒険します.	イセカイリョウリデコソダテシナガラレベルアップ!:ケモミミヨウジトノンビリボウケ	サクヤカイシ/桑原伶依	[2]	巻不連続[2];v1書影無(楽天)
一億年ボタンを連打した俺は、気付いたら最強になっていた : 落第剣士の学院無双.	イチオクネンボタンオレンダシタオレワキズイタラサイキョウニナッテイタ:ラクダイケ	月島秀一/士土幽太郎	[7]	巻不連続[7];v1書影無(楽天)
妹が女騎士学園に入学したらなぜか救国の英雄になりました。ぼくが。 = After my sister enrolling in Girl Knights'School,I become a HERO.	イモウトガオンナキシガクエンニニュウガクシタラナゼカキュウコクノエイユウニナリマ	萩原エミリオ/ラマンおいどん	[2]	巻不連続[2];v1書影無(楽天)
居留守の勇者アリシア.	イルスノユウシャアリシア	水鳥なや	[2]	巻不連続[2];v1書影無(楽天)
陰キャだった俺の青春リベンジ : 天使すぎるあの娘と歩むReライフ.	インキャダッタオレノセイシュンリベンジ:テンシスギルアノコトアユムリライフ	伊勢海老ボイル/慶野由志	[3]	巻不連続[3];v1書影無(楽天)
院内警察 : アスクレピオスの蛇.	インナイケイサツ:アスクレピオスノヘビ	酒井義/林いち	[8]	巻不連続[8];v1書影無(楽天)
鶯谷デッドゾーン.	ウグイスダニデッドゾーン	井深みつ/三日閉両	[5]	巻不連続[5];v1書影無(楽天)
X-MEN.	エックスメン	ジェリー・ダガン [ほか]/高木亮	[2]	巻不連続[2];v1書影無(楽天)
エトランジュオーヴァーロード : 反省しない悪役令嬢、地獄に堕ちて華麗なるハッピーライフ無双.	エトランジュオーヴァーロード:ハンセイシナイアクヤクレイジョウジゴクニオチテカレ	へかとん/喜多山浪漫	[1]	題不一致(NDL/楽天):エトランジュ オーヴァーロー
江戸前の旬スペシャル : 銀座柳寿司三代目. 初秋・サンマ編	エドマエノシュンスペシャル:ギンザヤナギズシサンダイメ	九十九森/さとう輝	[1]	題不一致(NDL/楽天):江戸前の旬スペシャル 初秋・
エルフせんぱいは××××したい.	エルフセンパイワバツバツバツバツシタイ	亀吉いちこ	[2]	巻不連続[2];v1書影無(楽天)
エロントロピーが止まらない! : JK巫女のラブレッスン.	エロントロピーガトマラナイ:ジェイケイミコノラブレッスン	青橋由高/ぜろのりく	[1]	題不一致(NDL/楽天):エロントロピーが止まらない!
王太子様、私今度こそあなたに殺されたくないんです! : 聖女に嵌められた貧乏令嬢、二度目は串刺し回避します!	オウタイシサマワタシコンドコソアナタニコロサレタクナインデス:セイジョニハメラレ	おしばなお/岡達英茉	[6]	巻不連続[6];v1書影無(楽天)
王都の外れの錬金術師 = A tale of a little alchemist blessed by the spirits : ハズレ職業だったので、のんびりお店経営します.	オウトノハズレノレンキンジュツシ	あさなや/yocco	[5]	巻不連続[5];v1書影無(楽天)
王立騎士団の花形職 : 転移先で授かったのは、聖獣に愛される規格外な魔力と供給スキルでした.	オウリツキシダンノハナガタショク:テンイサキデサズカッタノワセイジュウニアイサレ	糸由はんみ/眼鏡ぐま	[2]	巻不連続[2];v1書影無(楽天)
王立魔術学院の鬼畜講師.	オウリツマジュツガクインノキチクコウシ	実々みみず/急川回レ	[2]	巻不連続[2];v1書影無(楽天)
オーバーロード〈新〉世界編 = OVERLORD New World.	オーバーロードシンセカイヘン	丸山くがね/Matsuki	[1]	題不一致(NDL/楽天):オーバーロード <新>世界編
オーバーロード不死者のOh! = OVERLORD The Undead King Oh!	オーバーロードフシシャノオー	じゅうあみ/丸山くがね	[13]	巻不連続[13];v1書影無(楽天)
オーラス : 裏道の柳.	オーラス:ウラミチノヤナギ	押川雲太朗/嶺岸信明	[7, 8]	巻不連続[7, 8];v1書影無(楽天)
オール・ザ・マーブルズ! = ALL THE MARBLES!	オールザマーブルズ	伊図透	[6]	巻不連続[6];v1書影無(楽天)
お母様の言うとおり!	オカアサマノイウトオリ!	うき太郎 コミック/ふみ	[2]	巻不連続[2];v1書影無(楽天)
お飾り王妃になったので、こっそり働きに出ることにしました : うさぎがいるので独り寝も寂しくありません!	オカザリオウヒニナッタノデコッソリハタラキニデルコトニシマシタ:ペットガイルノデ	封宝/富樫聖夜	[5]	巻不連続[5];v1書影無(楽天)
おくちがエッチな弱点だって、ライバルのエリート同僚にバレてしまいました.	オクチガエッチナジャクテンダッテ、ライバルノエリートドウリョウニバレテシマイマシ	あわいぽっぽ	[5]	巻不連続[5];v1書影無(楽天)
乙女怪獣キャラメリゼ.	オトメカイジュウキャラメリゼ	蒼木スピカ	[8]	巻不連続[8];v1書影無(楽天)
鬼平犯科帳 : わかれ道	オニヘイハンカチョウ:ワカレミチ	さいとう・たかを/池波正太郎	[1]	題不一致(NDL/楽天):鬼平犯科帳 わかれ道
お姉ちゃんとずぽずぽ。	オネエチャントズポズポ	たかしな浅妃	[1]	v1書影無(楽天)
俺が欲情するのはキミのせい。 : 一目惚れのち、相性120%エッチ	オレガヨクジョウスルノワキミノセイ:ヒトメボレノチアイショウヒャクニジッパーセン	南雲ジュリ	[1]	題不一致(NDL/楽天):俺が欲情するのはキミのせい。
女鍛冶師はお人好しギルドに拾われました : 新天地でがんばる鍛冶師生活.	オンナカジシワオヒトヨシギルドニヒロワレマシタ:シンテンチデガンバルカジシセイカ	日之影ソラ/みつなり都	[5]	巻不連続[5];v1書影無(楽天)
カッラフルなエッッブリデイ : へたくそなのに泣くほど笑える! 3rdステージ	カッラフルナエッッブリデイ:ヘタクソナノニナクホドワラエル	むめい	[3]	巻不連続[3];v1書影無(楽天)
過保護な執事が私の婚活を邪魔してきます!	カホゴナシツジガワタシノコンカツオジャマシテキマス	蒼凪そう/もり	[2]	巻不連続[2];v1書影無(楽天)
可愛い義理の妹なんて、本当は面倒なだけなんだが.	カワイイギリノイモウトナンテ、ホントウワメンドウナダケナンダガ	ロジロ	[2]	巻不連続[2];v1書影無(楽天)
ガヴリールドロップアウト = Gabriel DropOut.	ガヴリールドロップアウト	うかみ	[15]	巻不連続[15];v1書影無(楽天)
キスからはじまる異世界ハーレム : 一夫多妻の世界に転生したので神が決めた運命の人を探します.	キスカラハジマルイセカイハーレム:イップタサイノセカイニテンセイシタノデカミガキ	勇人	[1]	題不一致(NDL/楽天):キスからはじまる異世界ハーレ
機動戦士ガンダム赤い三巨星 = MOBILE SUITS GUNDAM RED GIANT 03rd MS TEAM.	キドウセンシガンダムアカイサンキョセイ	江尻立真/関西リョウジ シナリオ	[3]	巻不連続[3];v1書影無(楽天)
機動戦士ガンダム水星の魔女ヴァナディースハート = Mobile Suit Gundam THE WITCH FROM MERCURY VANADIS HEART.	キドウセンシガンダムスイセイノマジョヴァナディースハート	東條チカ/米山昂 シナリオ	[3]	巻不連続[3];v1書影無(楽天)
機動戦士ガンダムヴァルプルギスEVE = MOBILE SUIT GUNDAM VALPURGIS EVE.	キドウセンシガンダムヴァルプルギスイヴ	葛木ヒヨン/海冬レイジ	[3]	巻不連続[3];v1書影無(楽天)
貴腐人ローザは陰から愛を見守りたい.	キフジンローザワカゲカラアイオミマモリタイ	紫のの/中村颯希	[3]	巻不連続[3];v1書影無(楽天)
嫌われ皇子のやりなおし = The Hated Prince Starts His Life Over Again : 辺境で〈闇魔法〉を極めて、最強の眷属と理想の王国を作ります.	キラワレオウジノヤリナオシ	苗原一/阿部花次郎	[4]	巻不連続[4];v1書影無(楽天)
キリングバイツ = KILLING BITES.	キリングバイツ	村田真哉/隅田かずあさ	[24]	巻不連続[24];v1書影無(楽天)
クズ外道の俺は、洗脳スキルで美少女を脱がすことにした。.	クズゲドウノオレワ、センノウスキルデビショウジョオヌガスコトニシタ。	ダイヤモンド/剛田ナギ	[3]	巻不連続[3];v1書影無(楽天)
くっころ騎士の快適虜囚生活 = A Kukkoro knight's comfortable life in captivity	クッコロキシノカイテキリョシュウセイカツ	蛇光院三郎	[1]	題不一致(NDL/楽天):くっころ騎士の快適虜囚生活(
国渡りの錬金術師 : 王子に騙され王宮を追い出された私は、ある旅の一団と出会いました.	クニワタリノレンキンジュツシ:オウジニダマサレオウキュウオオイダサレタワタシワア	綴吏/日之影ソラ	[2]	巻不連続[2];v1書影無(楽天)
クラスの大嫌いな女子と結婚することになった。.	クラスノダイキライナジョシトケッコンスルコトニナッタ	天乃聖樹/もすこんぶ	[6]	巻不連続[6];v1書影無(楽天)
工芸職人はセカンドライフを謳歌する.	クラフトマンワセカンドライフオオウカスル	鈴木竜一/華尾ス太郎	[1]	題不一致(NDL/楽天):工芸職人《クラフトマン》はセ
クレバテス = CLEVATESS : 魔獣の王と赤子と屍の勇者.	クレバテス	岩原裕二	[4]	巻不連続[4];v1書影無(楽天)
クロシオカレント = KUROSHIO CURRENT.	クロシオカレント	こかむも [著]	[3]	巻不連続[3];v1書影無(楽天)
ケイヤクシマイ = Contract Sisters.	ケイヤクシマイ	ヒジキ	[4]	巻不連続[4];v1書影無(楽天)
剣聖の称号を持つ料理人.	ケンセイノショウゴウオモツリョウリニン	天那光汰/海田ゆた	[8]	巻不連続[8];v1書影無(楽天)
外科医エリーゼ = Surgeon Elise.	ゲカイエリーゼ	mini/yuin	[13]	巻不連続[13];v1書影無(楽天)
月曜日のたわわ = Tawawa on Monday. その11	ゲツヨウビノタワワ	比村奇石	[11]	巻不連続[11];v1書影無(楽天)
幻想命名記.	ゲンソウメイメイキ	小松万記	[2]	巻不連続[2];v1書影無(楽天)
現代史の中のゴルゴ13 : 米ソ激突!!危機の時代	ゲンダイシノナカノゴルゴ13:ベイソゲキトツ!!キキノジダイ	さいとう・たかを	[1]	題不一致(NDL/楽天):現代史の中のゴルゴ13 米ソ
現代の最強兵士、異世界ダンジョンを攻略する = THE MODERN ERA'S STRONGEST SOLDIER CONQUERS ANOTHER WORLD'S DUNGEON.	ゲンダイノサイキョウヘイシイセカイダンジョンオコウリャクスル	三門鉄狼 原作・脚本/クリエイティブハウスポケット	[2]	巻不連続[2];v1書影無(楽天)
コイマニ。	コイマニ	りゅうき夕海	[1]	v1書影無(楽天)
後宮の検屍女官.	コウキュウノケンシニョカン	おの秋人/小野はるか	[3]	巻不連続[3];v1書影無(楽天)
後宮の毒華.	コウキュウノドクカ	いずも甘茶/太田紫織	[2]	巻不連続[2];v1書影無(楽天)
後宮の忘却妃 : 輪廻の華は官女となりて返り咲く : the comic.	コウキュウノボウキャクヒ:リンネノハナワカンジョトナリテカエリザク:thecom	あかこ/池谷茉優	[1]	題不一致(NDL/楽天):後宮の忘却妃 -輪廻の華は官
皇帝の薬膳妃.	コウテイノヤクゼンヒ	かなたろう/尾道理子	[4]	巻不連続[4];v1書影無(楽天)
子供に懐かれたら家政婦になりました。あれ?騎士様にも溺愛されてるようです!?	コドモニナツカレタラカセイフニナリマシタ。アレ?キシサマニモデキアイサレテルヨウ	桂実 漫画・キャラクター原案/三園七詩	[2]	巻不連続[2];v1書影無(楽天)
このヒーラー、めんどくさい.	コノヒーラーメンドクサイ	丹念に発酵	[8]	巻不連続[8];v1書影無(楽天)
コミック乱ツインズセレクション : 想いは強く。	コミックランツインズセレクション:オモイワツヨク。	さいとう・たかを, ラズウェル細木, 藤原芳秀, 鈴木あつむ, 平田弘史, 荒木俊明, 岡村賢二, こだま学/池波正太郎, 安部龍太郎	[1]	題不一致(NDL/楽天):コミック乱ツインズセレクショ
小宮山がキライだ = i never fall in love with Komiyama.maybe.	コミヤマガキライダ	桃白茉乃	[6]	巻不連続[6];v1書影無(楽天)
